outdoors	1.91	-1.06	1.2	2.492328228785286
corny	0.0	-2.0	-0.06	2.0008997975910736
enchantment	1.8	0.29	0.22	1.8364367672206958
tropics	2.05	-0.26	1.19	2.3845754339085183
exciting	2.95	1.95	2.21	4.170023980746394
sunset	2.46	-0.32	0.32	2.501279672487665
obvious	0.33	-1.35	1.47	2.022943400097986
information	1.33	-2.7	0.39	3.0349629322283334
regain	1.25	-1.95	1.08	2.5556603843233945
plasma	1.05	0.3	0.19	1.1084223021935278
resolve	0.85	-2.35	1.92	3.1514123817742417
moxie	1.1	-1.22	0.79	1.8227726133558184
uprising	-0.67	0.65	0.0	0.9334880824091972
earthy	1.5	-1.71	1.56	2.7582059386492515
intracranial	-0.38	-0.55	-0.43	0.7948584779695063
counterpoint	0.24	-0.6	0.53	0.8357631243360765
good	2.89	-1.34	1.41	3.4836475137418828
obese	-2.68	-1.05	-0.78	2.9821636440678434
deploy	-0.75	-0.04	-0.1	0.7576938695805847
empty	-1.22	-2.75	-1.39	3.314060952969936
faithful	2.95	-0.52	2.29	3.770543727368773
goof	0.35	-0.76	1.08	1.3661991070118586
suede	0.36	-2.25	0.71	2.3866713221556086
tic	-0.76	-0.59	-1.29	1.6092855557669064
reproduce	0.63	-0.39	-0.12	0.7505997601918083
huddle	0.32	-1.32	-0.04	1.3588230201170424
skeleton	-0.63	-0.45	-0.36	0.8538149682454624
tie	0.33	-1.9	0.17	1.9359235522096423
end table	0.25	-2.3	-0.1	2.315707235381882
beatnik	-1.11	-0.79	-0.39	1.4171450172794597
rendition	0.11	-1.4	0.3	1.4360013927569846
romp	1.79	0.8	0.61	2.0533387445816147
gumption	0.48	-0.35	0.55	0.8095677859203638
myriad	0.52	-1.48	0.41	1.6213882940245992
tin	-0.05	-2.27	0.54	2.333880888134611
mnemonic	0.1	-1.55	0.32	1.5858436240689056
serious	0.88	-0.95	0.67	1.458012345626744
disperse	-0.81	-1.33	0.12	1.5618578680533002
tip	1.77	-0.95	0.84	2.1773837512023464
roughneck	-1.26	-0.36	1.33	1.867110066386018
laugh	2.56	1.62	2.39	3.8587692338360946
tit	0.76	1.14	-0.14	1.3772436240549455
erratic	-1.79	0.1	-0.6	1.8905290264896752
tweezers	-0.37	-0.36	1.18	1.2879829191413992
nunchuck	0.7	-0.3	0.76	1.0759182125050213
adoration	1.47	-0.64	1.54	2.223083444227859
cinder	-0.2	-1.09	0.76	1.343763372026489
fantasy	2.15	1.18	1.35	2.7995356757862546
levitate	0.4	1.1	0.04	1.171153277756588
deform	-2.74	-0.73	-1.95	3.4413660078521144
unhappiness	-3.11	-0.59	-2.04	3.7658730727415652
informative	0.94	-1.11	1.47	2.0679941972839284
fornication	0.95	1.65	1.59	2.4805442951094423
sane	1.73	-1.19	1.1	2.3704429965725815
sand	1.16	-1.57	-0.18	1.9603316046016297
frustrate	-2.43	0.48	-1.28	2.7881355777651846
gorgeous	2.57	-0.08	2.05	3.288434277889707
peppermint	1.84	-0.48	1.05	2.172210855326895
erosion	-1.21	0.86	-1.09	1.8416840119846836
wacky	1.05	-0.52	-0.95	1.5084429057806596
hark	-0.35	-1.9	0.05	1.9326148090087687
ascend	0.14	-1.27	0.55	1.3910427743243556
harm	-3.09	0.9	-1.05	3.385350794230932
neural	1.05	-1.81	-0.36	2.123252222417299
displeased	-1.59	-0.78	0.0	1.771016657177453
harp	0.4	-1.74	1.29	2.202657485856573
inmate	-2.33	-0.27	-2.0	3.0824989862123235
rope	-0.14	-1.9	0.5	1.9696700231257012
punchy	-0.22	-0.68	-1.04	1.2619033243477886
kickbox	0.33	-0.55	0.18	0.6661831579978588
proactive	1.06	-1.6	2.32	3.0109799069405963
representation	-0.14	-0.64	0.8	1.0340212763768453
tripod	0.23	-0.68	0.14	0.731368580129062
muster	-0.33	-1.35	0.41	1.448965147959053
blotter	0.5	-0.86	0.26	1.0282023147221562
lilac	1.95	-1.36	1.24	2.6813615944143008
flannel	0.55	-2.68	-0.32	2.7545054002488363
adrift	-0.64	-1.81	-0.91	2.124570544839592
motive	0.32	-0.14	1.2	1.2497999839974394
ventilator	-1.1	-0.95	0.11	1.457600768386186
provider	1.26	-1.27	1.32	2.2232633672149595
motivate	1.05	0.09	2.22	2.4574376899526875
possessive	-1.74	-0.14	0.26	1.7648795992928243
root	0.33	-1.38	1.05	1.765162882002678
croissant	2.0	-0.5	1.04	2.309025768587263
salami	-0.17	-0.2	1.32	1.3458454591816997
hard	-0.65	-0.5	-0.04	0.8210359310042405
projection	0.2	-1.4	0.05	1.4150971698084907
fluffy	2.11	-1.55	1.11	2.843712362388292
hare	1.61	-2.26	0.04	2.7751216189565455
multiply	0.43	-0.61	0.48	0.8873556220591606
pasture	1.15	-1.86	0.75	2.311839094746864
sphincter	-0.63	-1.0	-0.89	1.479526951427381
effectiveness	1.9	-0.05	1.19	2.2424540129063963
hypochondriac	-2.11	0.29	-1.25	2.4695546157151496
nippy	-0.21	0.45	0.14	0.5159457335805773
roof	-0.52	-1.6	2.05	2.6519615381826336
wheelbarrow	0.17	-1.9	0.87	2.0966163216001155
conducive	0.39	-1.15	0.78	1.4432601983010547
umbrella	0.84	-1.5	0.75	1.8756598838808702
caliber	-0.21	-0.9	0.45	1.0279105019407089
raffle	0.37	0.05	-0.71	0.8021845174272563
bloke	0.0	-0.76	-0.22	0.7912016177940993
multiple	0.0	-1.0	0.64	1.1872657663724664
tweet	0.37	-1.61	0.37	1.6928969253915018
rook	0.58	-1.59	-0.79	1.8677794302325958
room	0.65	-1.52	0.15	1.6599397579430404
